,text
50,"A2. No total, foram instalados 312 metros de barreiras de segurança e a construção de 470 metros de galerias pluviais. O DNIT também aplicou mais de 11 mil toneladas para reparar o pavimento da via. @DNIToficial 
⠀"
51,"A1. O @MInfraestrutura , finalizou nesta segunda-feira (12) a restauração na Travessia Urbana de Italva, na BR-356/RJ. Os serviços realizados incluem melhorias na pavimentação, drenagem e sinalização da rodovia, além da implantação de um trevo na rodoviária do município. https://t.co/30LpH88Xrv"
52,- @fab_oficial @mdhbrasil @DamaresAlves @minsaude https://t.co/nv0XIbkjB4
53,"- Desmatamento na região da Amazônia Legal registrou queda de 19,15% entre agosto e março do biênio 2020/2021 em comparação com o mesmo período de 2019/2020. Resultado foi alcançado com a Operação Verde Brasil 2.

Detalhes: https://t.co/KHzLc1a1Gb.

@DefesaGovBr @mmeioambiente https://t.co/ZfjW5Pq2HE"
54,"- Hospital das Forças Armadas aumenta em 308% a quantidade de leitos de UTI.

Datalhes: https://t.co/7QWMRxuRQq

@DefesaGovBr @exercitooficial @fab_oficial @marmilbr https://t.co/keHHdEnjJx"
55,- @exercitooficial distribui alimentação no Ceará. https://t.co/BdZJ1IPtmB https://t.co/GjSJM3wJCk
56,"1.3- Os recursos arrecadados até 2020 chegaram a 562 instituições filantrópicas e hospitais com 44 milhões de EPIs, em mais de 460 municípios de todas as regiões do país."
57,"1.2- A marca foi alcançada com quatro novas doações, realizadas pelas empresas Grupo Heineken, Ômega Energia, Raia Drogasil e Engie. Além das usinas, os valores serão destinados à compra de insumos e equipamentos para instituições que atendem pelo Sistema Único de Saúde (SUS)."
58,"1.1- O Programa de Captação Salvando Vidas, do @bndes , chegou ao valor de R$ 100 milhões e vai doar mais 8 usinas de oxigênio para hospitais brasileiros. Criado há um ano, o projeto avança no enfrentamento da Covid-19 no Brasil. 

(Segue o fio) https://t.co/4QYQBfxTvQ"
59,"- Mais uma mentira do Kajuru.

- Quem seria o ex-ministro da Saúde citado pelo senador? Com a palavra aquele que me gravou, obviamente, sem autorização. https://t.co/4JNNC5Ci7E"
60,Cumprimento @LassoGuillermo por sua vitória nas eleições presidenciais no Equador. Estou certo de que estreitaremos ainda mais os laços que unem nossas nações e trabalharemos pela liberdade em nossa região. Felicidades ao povo equatoriano e sucesso ao presidente eleito! 🇧🇷🤝🇪🇨
61,"Cada vez mais a população está ficando sem emprego, renda e meios de sobrevivência... o caos bate na porta dos brasileiros.

- Pergunte o que cada um de nós poderá fazer pelo Brasil e sua liberdade e ... prepare-se."
62,"- Hoje você está tendo uma amostra do que é o comunismo e quem são os protótipos de ditadores, aqueles que decretam proibição de cultos, toque de recolher, expropriação de imóveis, restrições a deslocamentos, etc..."
63,"- Não desagregue, some, acredite... Convença aqueles que estão ao seu lado a defender a Constituição, em especial seu art. 5°, a nossa Bandeira verde e amarela..."
64,"- Nos momentos difíceis deve-se unir forças, nunca ofender exatamente aquele que pode ser decisivo nesse salvamento.

- Se a facada tivesse sido fatal, hoje você teria como Presidente Haddad ou Ciro. Sua liberdade, certamente, não mais existiria.
(Segue) https://t.co/Y2sHPjfWTs"
65,https://t.co/31cIzKKQVG
66,"- São mais de 20 toneladas de medicamentos transportados e 2.908 horas voadas pelas Forças Armadas em combate ao covid. Fatos expostos diariamente nas redes sociais.

@DefesaGovBr @fab_oficial @exercitooficial @marmilbr https://t.co/4Q1t6iKND6"
67,"A3. Em 2020, a @policiafederal apreendeu 12 aeronaves transportando drogas, número 70% maior que o total do ano anterior. Em 2021, a PF já realizou três apreensões nas mesmas circunstâncias. @govbr"
68,A2. A ação faz parte de uma estratégia institucional de integração entre as organizações e as polícias estaduais que tem alcançado resultados expressivos no combate ao tráfico de drogas e na proteção das fronteiras nacionais. @JusticaGovBR
69,"A1. Em ação conjunta, a @policiafederal e a @fab_oficial interceptaram uma aeronave com 579 kg de cocaína na região de Porto Velho, em Rondônia. https://t.co/q0ooXllWRx"
70,"1.3- Cada cesta reúne 22kg em produtos, que incluem arroz, feijão, óleo vegetal, macarrão, flocos de milho, farinha de mandioca, açúcar e leite em pó. Serão atendidos 49.459 pessoas em Marajó. @planalto 

Saiba mais: https://t.co/ZLiPS7e4Tq"
71,"1.2- O @MinCidadania destina 95 mil cestas de alimentos para suprir as necessidades das famílias da região. A ação é realizada em parceria com o projeto Abrace o Marajó, coordenado pelo @mdhbrasil ."
72,"1.1- A comunidade ribeirinha que vive em 15 municípios da ilha de Marajó (PA) vai receber assistência do @govbr como forma de garantir a segurança alimentar na região durante a pandemia de Covid-19, diante da instalação de possibilidade de trabalho contínuo. https://t.co/wtiMBWLbJo"
73,"- Na última semana, o @govbr entregou 1.329 moradias em cinco cidades: 
. 100 em Bálsamo (SP), 
. 435 em São Sebastião (DF), 
. 496 em Ananindeua (PA), 
. 106 em Teresina (PI) e 
. 192 em Campo Grande (MS). 
. Mais de 5,3 mil pessoas morando com mais dignidade.

@mdregional_br https://t.co/l0I51xv0CI"
74,"- Fundo Geral de Turismo:

- Em mais uma etapa a manutenção de 51 mil empregos.

- Oficializado o repasse de R$ 1,2 bilhão à  @Caixa e de R$ 32 milhões à Desenbahia, ampliando a disponibilidade de créditos para micro, médias e grandes empresas em meio à pandemia.

@MTurismo https://t.co/oRb5ZVBi3O"
75,"- Nesse sábado (10), as Forças Armadas levaram mais 8 tanques do tipo Permacyl para Porto Velho (RO) - linha contínua - e 20 tanques para Envira (AM).

O transporte de Oxigênio não pára!!! 

Informações atualizadas diariamente: @fab_oficial @DefesaGovBr 

Segue o fio... https://t.co/HmB3kvQXr9"
76,"RT @CarlosBolsonaro: - Campo de Santana, Rio de Janeiro/RJ: lockdown, fome, miséria e desemprego. https://t.co/C3ne3M1QCp"
77,- Mais e mais ações das Forças Armadas no combate ao covid. @exercitooficial @marmilbr @fab_oficial @DefesaGovBr https://t.co/wLEct92NJw
78,"- Ventilador pulmonar de baixo custo criado pela USP em parceria com o governo dos EUA, já chegou a 9 estados brasileiros, em 60 hospitais que utilizam 300 equipamentos para salvar vidas. Mais 500 unidades deverão ser entregues até o fim de maio.

 @USAmbBR https://t.co/V6Bmq480Gd"
79,"- Apreendida quase uma tonelada de cocaína que estava sendo transportada para Salvador. Ação resultou também na prisão em flagrante de três pessoas.

Mais um prejuízo gigantesco ao crime organizado. Investimento em homens e inteligência. @policiafederal 

https://t.co/yIDmsuqCrk https://t.co/CVtZ4AEQ4Z"
80,"- São Miguel do Oeste/SC. O 14º Regimento de Cavalaria Mecanizado realizou o transporte de alimentos, arrecadados em campanha beneficente da Câmara de Dirigentes Logístas do município, ao Hospital Regional Teresina Gaio Basso.

@exercitooficial https://t.co/Jx8CBSv2O5"
81,- @bndes ( parcerias atuais focam o brasileiro como mostrado nesta e em diversas postagens anteriores. No passado o referido era utilizado para bancar ditaduras parceiras em nome de um projeto de poder! ) https://t.co/7acLVNKFLE
82,"- O setor ferroviário é uma das prioridades do @govbr .

- A antiga ferrovia Santos/Jundiaí, que foi inaugurada pelo Barão de Mauá em 1867, hoje uma parte chamada de ""Cremalheira"", opera com uma das locomotivas mais modernas do mundo.

- @Marceloscf2 https://t.co/twXNf6vCBi"
83,"1.2- De maio de 2020 até agora houve aumento de mais de 40% de atendimentos nas redes de Hospitais Universitários Públicos Federais devido ao investimento em estrutura e serviços do @govbr nestes setores.

Saiba mais: https://t.co/RJlw56eHMz"
84,"1.1- Os atendimentos foram possíveis graças ao investimento do @govbr em disponibilização e abertura novos leitos e reformas em diversas bases pelo Brasil, como mostrados em diversas postagens anteriores. @MEC_Comunicacao @mribeiroMEC @ebserh https://t.co/IbcsOkbyuC"
85,"- Com os leilões, também contribui-se para a criação de cerca de 200 mil postos de trabalho com as oportunidades que o país conquista com a concessão dos 28 ativos de portos, aeroportos e ferrovias na InfraWeek.

@MInfraestrutura @tarcisiogdf @ppinvestimentos"
86,"- LEILÕES DE ZONAS PORTUÁRIAS ENCERRADOs! Com os arrendamentos, + de R$ 600 mi serão investidos nas 5 áreas. R$216 mi em outorgas ofertadas. Vencedores:
. IQI03, IQI11 e IQI12: Santos Brasil Participações  
. IQI13: Terminal Químico de Aratu
. PEL01: CMPC Celulose Riograndense https://t.co/ZUEOFKz2tK"
87,"- Mais uma entrega de vacinas contra o covid concluída pelo @minsaude . O total de 4,4 milhões de doses foi distribuído em 24h para todo o Brasil. 

Segue o fio... https://t.co/xNYG9YPwdg"
88,- Ouvindo o povo: https://t.co/pjGQnSDNcJ
89,"- Bairro Morro da Cruz / São Sebastião-DF:
- Conversa com venezuelanos que saíram de seu país.

. Link no YouTube: https://t.co/UOezV5t1Cc"
90,https://t.co/RgLHFfEazX
91,- Brasil é 5º país que mais aplicou doses entre países do G20. https://t.co/GTx7mUxI7A
92,- Nova Santa Rita/RS. Mais 93 mil unidades de medicamentos para kits intubação serão distribuídos hoje para 69 hospitais em 52 municípios no RS. A distribuição é coordenada pelo 3º Grupamento Logístico e partem do 3º Batalhão de Suprimento. @DefesaGovBr @minsaude https://t.co/ykso1p05Vm
93,"- 2° Batalhão Logístico Leve, Comando Militar do Sudeste, apoia na coleta, seleção, higienização e distribuição de 990 toneladas de alimentos para mais de 25 mil famílias carentes de Campinas e região. @exercitooficial https://t.co/kW1oiYK3uA"
94,- @MinEconomia @govbr https://t.co/y4IHtBocRs
95,- @mincomunicacoes https://t.co/5wiMEDaimA
96,"- Foco no Programa de Aquisição de Alimentos (PAA) garante atenção e renda ao agricultor familiar.

- @MinCidadania @joaoromaneto @Mapa_Brasil @TerezaCrisMS 

- Segue o fio: https://t.co/ODdl1KzI82"
97,"RT @tarcisiogdf: Batemos nossa meta. Governo @JairBolsonaro sai dos 3 dias de leilões com R$ 10 bilhões em investimento privado contratado para 22 aeroportos, 5 terminais portuários e 1 ferrovia. Mais de 200 mil empregos para os próximos anos 🇧🇷 https://t.co/IXNyLzQcTa"
98,"- Assista, fatos que tiram quaisquer dúvidas sobre a pandemia. https://t.co/xCcArg1Tu9

. Mais atualizações realizadas diariamente em nosso Telegram: https://t.co/O8KTejUGuL"
99,"RT @CarlosBolsonaro: A1. As Forças Armadas montaram 8 postos de vacinação, na cidade do Rio de Janeiro, contra a Covid-19. Nesta sexta-feira (09), militares da @marmilbr , do @exercitooficial e da @fab_oficial passam a aplicar as doses nos cariocas em estruturas erguidas em organizações militares. https://t.co/xqB0PEX1GM"
100,"- Barroso se omite ao não determinar ao Senado a instalação de processos de impeachment contra ministro do Supremo, mesmo a pedido de mais de 3 milhões de brasileiros.

- Falta-lhe coragem moral e sobra-lhe imprópria militância política.

- Pres Jair Bolsonaro."
101,"- A CPI que Barroso ordenou instaurar, de forma monocrática, na verdade, é para apurar apenas ações do governo federal.

- Não poderá investigar nenhum governador, que porventura tenha desviado recursos federais do combate à pandemia.
(Segue) https://t.co/mIL4NnR20S"
102,"- O @minsaude iniciou nesta quinta-feira (8) mais uma entrega de vacinas contra o Covid19 para todo o Brasil.

Com esta nova distribuição, serão 47,5 milhões de doses de imunizantes enviadas pelo @govbr a estados e DF, desde o início da campanha nacional de vacinação. https://t.co/zOZB3yiEiH"
103,"- As Forças Armadas não param no combate ao covid em todo o Brasil!
Já foram transportados:

. 7 mil tanques de O2 gasoso
. 903 tanques de O2 líquido
. 849 pacientes
. 20 toneladas de medicamentos 
. 205 respiradores

Um total de 2830 horas já voadas! @fab_oficial @marmilbr https://t.co/zeXIvD24fd"
104,"1.3- Os concentradores devem atender, mensalmente, entre 10 mil e 20 mil pacientes e substituem, em média, 21 cilindros de oxigênio. Os aparelhos serão entregues ao @minsaude , que será responsável pela logística de distribuição."
105,"1.2- O equipamento separa o oxigênio do ar, contribuindo para a melhora da capacidade respiratória dos pacientes. Bradesco, BRF, B3, Embraer, Gerdau, Grupo Ultra, Itaú Unibanco, Magazine Luiza, Marfrig, Natura &amp; Co, Suzano e Unipar participam da iniciativa. @secomvc"
106,"1.1- O @minsaude acertou com um grupo de 12 empresas a doação de mais de 5 mil concentradores de oxigênio que serão utilizados para o tratamento de pacientes com Covid-19. A iniciativa atende à chamada pública da @EconomiaSepec do @MinEconomia , em apoio à pasta. https://t.co/SRcxNxaKfQ"
107,"- Forças Armadas já realizaram 339 voos de apoio ao combate do COVID19 em todo o Brasil, sendo 93 para remoção de pacientes e 246 para transporte de insumos médicos. 

O trabalho continua! 
@DefesaGovBr @fab_oficial @CBaptistaJr https://t.co/bKWpo8PX0l"
108,"- Hospital Federal do Grupo Conceição transformou um depósito em ala com 55 leitos para o tratamento de pacientes com Covid-19. 

- O @minsaude , @mqueiroga2 , conheceu o espaço e ressaltou que a iniciativa pode ser modelo para outras regiões. https://t.co/dU9d2CdRN6"
109,- Segue o fio: https://t.co/qkTaTF67jT
110,". Mais inaugurações de grandes obras de infraestrutura no Brasil;
. Vírus, empregos e fome;
. Visitas aos mais humildes para ouvir suas necessidades;
. E mais."
111,". Publicações científicas internacionais;
. Brasil é um dos países que mais vacinam no mundo;
. Atraso de vacinação na Europa;
. Liberdade na prescrição de médicos (fato histórico);
. Mais medicamentos em análise pela Anvisa;..."
112,"Temas da live 
. Vacinas
. Forças Armadas na atuação na vacinação para ajudar estados e municípios;
. Velocidade na aplicação de vacinas;
. Compra de vacinas desde 2020;
. Auxílio Emergencial (maior programa social do mundo);
. Sistema imunológico e suas derivações na saúde;..."
113,- Live de Quinta-feira -08/04/2021- Presidente Jair Bolsonaro. https://t.co/YVs3uOhG67
114,https://t.co/7dvlnsK7rE
115,- @minsaude https://t.co/nObcDOpvxY
116,"RT @tarcisiogdf: Bom dia a todos. Já a caminho da @B3_Oficial. Rodada de reuniões com investidores e às 14h leilão do 1o trecho da Ferrovia Oeste-Leste (FIOL) entre Ilhéus e Caetité, na Bahia. R$ 3,3 bilhões em investimentos, sendo R$ 1,6 bilhão para concluir uma obra inacabada desde 2011"
117,"1.3- Ao todo, 1.959 bolsas foram concedidas. Em quatro anos, a Capes prevê um investimento de R$ 200 milhões e a concessão de 2.600 bolsas. @MEC_Comunicacao @mribeiroMEC"
118,"1.2- O programa é dividido em duas dimensões: ações estratégicas emergenciais imediatas e ações induzidas em áreas específicas. Entre as iniciativas escolhidas pela Capes, oito procuram desenvolver uma vacina contra a Covid-19. @secomvc"
119,"1.1- Por meio do Programa de Combate a Epidemias, a @CAPES_Oficial já investiu R$ 53,7 milhões em estudos voltados à prevenção e ao enfrentamento da Covid-19 e outras doenças epidemiológicas. https://t.co/7o9bfvKkN7"
120,"A2. Iniciados em julho de 2020, quando foi criada uma força-tarefa apenas para o Covid-19, o monitoramento e a fiscalização já instauraram 139 processos e aplicaram 64 multas a agentes do setor. @secomvc"
121,"A1. Secretaria-Executiva da Câmara de Regulação do Mercado de Medicamentos (SCMED) multou empresas do setor farmacêutico em R$ 15,2 milhões pela venda de medicamentos usados no enfrentamento da Covid-19 com preços acima do autorizado no Brasil. @anvisa_oficial https://t.co/aNYBQxWivw"
122,"1.2- AM, BA, CE, ES, MS, MG, Rio Grande do Sul e São Paulo receberão os investimentos. A assinatura do Lote 1, em Goiás, deve acontecer nos próximos 30 dias, concluindo os 11 lotes ofertados na maior licitação de 2020 do @ppinvestimentos"
123,"1.1-Aneel assinou os contratos de concessão de 10 lotes de linhas de transmissão que foram arrematados em leilão realizado em dezembro/2020. As empresas já podem iniciar os trabalhos, que devem gerar mais de R$ 7 bi em investimentos e 15 mil empregos em 9 estados. @Minas_Energia https://t.co/vGRkOdD4lZ"
124,"A2. A arrecadação é 10 vezes maior do que a registrada no primeiro trimestre do ano passado, quando os leilões geraram R$ 3,5 milhões. Os arremates compreendem imóveis milionários, joias e veículos, além da conversão de mais de R$ 18,7 milhões em moedas estrangeiras. @secomvc"
125,"A1. A Secretaria Nacional de Políticas sobre Drogas do Ministério da Justiça e Segurança Pública arrecadou, só no primeiro trimestre de 2021, mais de R$ 37 milhões com a realização de 48 leilões de bens apreendidos de criminosos. @JusticaGovBR https://t.co/h5aWwt7kEc"
126,"- Os militares começam a atuar por escala no Pavilhão da Cura, no Parque Barigui. Mais informações nas redes sociais do @exercitooficial ."
127,"-Após o 9º Batalhão de Infantaria Motorizado dar início ao apoio de vacinação contra o covid em Pelotas (RS), a 5ª Divisão de Exército e a 5ª Região Militar colocaram 32 técnicos de enfermagem à disposição da Secretaria de Saúde de Curitiba (PR) para ajudar na aplicação. Segue... https://t.co/HfWBBrSWA1"
128,"RT @CBaptistaJr: Nota de esclarecimento: matéria da Folha manipula, omite e distorce ao dizer que hospitais militares estão ociosos https://t.co/ZdgPRNPx2i"
129,"- Visita ao Centro Avançado de Atendimento / COVID-19
- Chapecó/ SC. https://t.co/7tgmsB9UxE"
130,"RT @secomvc: BREAKING: 6ª rodada de concessões de aeroportos realizada pelo governo BATE a meta, QUEBRA recorde, obtém resultado acima do esperado e garante mais de R$ 6 BILHÕES em investimentos. É a infraestrutura brasileira CADA VEZ MAIS FORTE! @MInfraestrutura 

Detalhes 👇 https://t.co/7z3SxYcKgC"
131,"- Ministro André Mendonça, sustentação oral no STF: abertura de templos religiosos.

. Link no YouTube: https://t.co/IxPkjaUjLF"
132,"- Além dos aeroportos, nesta semana ainda serão realizados o leilão da Ferrovia de Integração Oeste-Leste, na quinta-feira, e o arrendamento de 5 terminais portuários, na sexta-feira."
133,". Mais uma rodada de leilões finalizados para a iniciativa privada:
- 22 aeroportos;
- R$ 3,3 bilhões de arrecadação;
- R$6,1 bilhão de investimento contratado.

@MInfraestrutura @tarcisiogdf @aviacaodobrasil"
134,- Pronunciamento à nação: https://t.co/N5FG5JtE35
135,"A3. Estes aparelhos serão suficientes para suprir em volume de O2 equivalente à demanda de 108 mil cilindros por mês. A iniciativa atende a um pedido do @minsaude , reforçando a estratégia unificada do @govbr para salvar vidas."
136,"A2. Os equipamentos serão utilizados no tratamento de pacientes em suas próprias localidades, incluindo as regiões mais remotas e de difícil acesso. Ao todo, serão doados mais de 5 mil concentradores para todo o país. @MinEconomia"
137,"A1. Força Tarefa: Mais uma ação conjunta de combate à Covid-19. Já estão no Brasil 2.783 concentradores de oxigênio adquiridos dos Estados Unidos, por meio de uma mobilização da @EconomiaSepec com 12 empresas privadas. https://t.co/1Z80CwehtU"
138,"- O próximo passo do escalonamento da produção será a entrada do segundo turno de trabalho, que elevará o número de doses fabricadas para 1,2 milhão por dia.

Saiba mais: https://t.co/iVylqeZ8Aq

@minsaude / @fiocruz https://t.co/rZkZHuZxpX"
139,"- @exercitooficial apoia transporte de mais de 2,8 mil cestas básicas para comunidade no Ceará. https://t.co/ehVgVxN8Dw https://t.co/55h1kvEpXU"
